prepare (/prɪˈpeər/) [verb]	To make food ready to eat - Chuẩn bị, chế biến. Ví dụ: She is going to **prepare** a special salad.
vegetable (/ˈvedʒ.tə.bəl/) [noun]	A plant used as food - Rau củ. Ví dụ: Eating fresh **vegetables** is good for your health.
nutritious (/njuːˈtrɪʃ.əs/) [adjective]	Containing many useful nutrients - Giàu dinh dưỡng. Ví dụ: A home-cooked meal is very **nutritious**.
nutrient (/ˈnjuː.tri.ənt/) [noun]	A substance that helps plants or animals grow - Chất dinh dưỡng. Ví dụ: Fruits contain important **nutrients**.
boil (/bɔɪl/) [verb]	To cook in boiling water - Luộc, đun sôi. Ví dụ: We should **boil** the water before drinking it.
steam (/stiːm/) [verb]	To cook food over boiling water - Hấp. Ví dụ: I like to **steam** broccoli to keep it green.
microwave (/ˈmaɪ.krə.weɪv/) [verb/noun]	To cook using waves of energy - Nấu bằng lò vi sóng / Lò vi sóng. Ví dụ: You can **microwave** the soup for two minutes.
leach (/liːtʃ/) [verb]	To dissolve and escape into liquid - Lọc qua, hòa tan ra. Ví dụ: Vitamins **leach** into water when boiling veggies.
repurpose (/ˌriːˈpɜː.pəs/) [verb]	To use for a new purpose - Tái sử dụng, chuyển đổi mục đích sử dụng. Ví dụ: We can **repurpose** the old jars to hold spices.
blanch (/blɑːntʃ/) [verb]	To cook vegetables in boiling water briefly - Chần sơ. Ví dụ: You should **blanch** the spinach for one minute.
absorb (/əbˈzɔːb/) [verb]	To take in liquid, gas, or nutrients - Hấp thụ. Ví dụ: Plants **absorb** water from the soil.
antioxidant (/ˌæn.tiˈɒk.sɪ.dənt/) [noun]	Substance that protects cells - Chất chống oxy hóa. Ví dụ: Green tea has many healthy **antioxidants**.
digest (/daɪˈdʒest/) [verb]	To break down food in the stomach - Tiêu hóa. Ví dụ: Tiny babies find it hard to **digest** solid food.
dietitian (/ˌdaɪ.əˈtɪʃ.ən/) [noun]	A person who studies food and health - Chuyên gia dinh dưỡng. Ví dụ: The **dietitian** gave me advice on my daily diet.
maximize (/ˈmæk.sɪ.maɪz/) [verb]	To increase to the greatest amount - Tối đa hóa. Ví dụ: We want to **maximize** the nutrients in our food.
soluble (/ˈsɒl.jə.bəl/) [adjective]	Able to be dissolved in a liquid - Dễ hòa tan. Ví dụ: Sugar is highly **soluble** in hot water.
preserve (/prɪˈzɜːv/) [verb]	To keep something safe or fresh - Bảo quản, giữ gìn. Ví dụ: Cooking quickly helps **preserve** vitamins.
method (/ˈmeθ.əd/) [noun]	A particular way of doing something - Phương pháp. Ví dụ: Steaming is a simple **method** of cooking.
benefit (/ˈben.ɪ.fɪt/) [noun/verb]	An advantage or useful effect - Lợi ích / Được lợi. Ví dụ: One **benefit** of exercise is stronger muscles.
recommend (/ˌrek.əˈmend/) [verb]	To advise someone to do something - Khuyên, đề xuất. Ví dụ: Doctors **recommend** eating less sugar.
